,Primary_ISBN_10,Book_Title,Description,Author,Contributor,Publisher,Asterisk,Dagger,Amazon_URL,Review_Link,BestSeller_Date,Published_Date,Book_Category,BestSeller_Year,BestSeller_Week,Rank,Rank_Last_Week,Weeks_on_List
0,385514239,ORIGIN,A symbology professor goes on a perilous quest with a beautiful museum director.,Dan Brown,by Dan Brown,Doubleday,0,0,https://www.amazon.com/Origin-Novel-Dan-Brown-ebook/dp/B01LY7FD0D?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,1,2,12
1,385541171,THE ROOSTER BAR,Three students at a sleazy for-profit law school hope to expose the student-loan banker who runs it.,John Grisham,by John Grisham,Doubleday,0,0,https://www.amazon.com/Rooster-Bar-John-Grisham-ebook/dp/B01N6YQAPS?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,2,1,9
2,1449486797,THE SUN AND HER FLOWERS,"A new collection of poetry from the author of ""Milk and Honey.""",Rupi Kaur,by Rupi Kaur,Andrews McMeel,0,0,https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797?tag=NYTBSREV-20,https://www.nytimes.com/2017/12/15/books/review/rupi-kaur-instapoets.html,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,3,3,12
3,316273902,THE PEOPLE VS. ALEX CROSS,Detective Cross takes on a case even though he has been suspended from the department and taken to federal court to stand trial on murder charges.,James Patterson,by James Patterson,"Little, Brown",0,0,https://www.amazon.com/People-vs-Alex-Cross/dp/0316273902?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,4,5,5
4,144947425X,MILK AND HONEY,Poetic approaches to surviving adversity and loss.,Rupi Kaur,by Rupi Kaur,Andrews McMeel,0,0,http://www.amazon.com/Milk-Honey-Rupi-Kaur/dp/144947425X?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,5,7,45
5,385543913,DARKER,Christian Grey's tormented and difficult pursuit of Anastasia Steele is told from his perspective.,EL James,by E.L. James,Vintage,0,0,https://www.amazon.com/Darker-Fifty-Shades-Told-Christian-ebook/dp/B07693HRS9?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,6,4,4
6,399593489,THE MIDNIGHT LINE,Jack Reacher tracks down the owner of a pawned West Point class ring and stumbles upon a large criminal enterprise.,Lee Child,by Lee Child,Delacorte,0,0,https://www.amazon.com/Midnight-Line-Jack-Reacher-Novel-ebook/dp/B06WP486XH?tag=NYTBSREV-20,https://www.nytimes.com/2017/11/08/books/review-midnight-line-jack-reacher-lee-child.html,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,7,6,7
7,553448129,ARTEMIS,A small-time smuggler living in a lunar colony schemes to pay off an old debt by pulling off a challenging heist.,Andy Weir,by Andy Weir,Crown,0,0,https://www.amazon.com/Artemis-Novel-Andy-Weir/dp/0553448129?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,8,10,6
8,1250122953,YEAR ONE,"When a pandemic strikes and the world spins into chaos, several travelers head west to find a new life.",Nora Roberts,by Nora Roberts,St. Martin's,0,0,https://www.amazon.com/Year-One-Chronicles-Book/dp/1250122953?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,9,8,3
9,307887448,READY PLAYER ONE,"It’s 2044, life on a resource-depleted Earth has grown increasingly grim, and the key to a vast fortune is hidden in a virtual-reality world.",Ernest Cline,by Ernest Cline,Broadway,0,0,http://www.amazon.com/Ready-Player-One-Ernest-Cline/dp/030788743X?tag=NYTBSREV-20,https://www.nytimes.com/2011/08/15/books/ready-player-one-by-ernest-cline-review.html,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,10,11,6
10,735224293,LITTLE FIRES EVERYWHERE,An artist upends a quiet town outside Cleveland.,Celeste Ng,by Celeste Ng,Penguin Press,0,0,https://www.amazon.com/Little-Fires-Everywhere-Celeste-Ng-ebook/dp/B01N4VW75U?tag=NYTBSREV-20,https://www.nytimes.com/2017/09/25/books/review/little-fires-everywhere-celeste-ng.html,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,11,12,9
11,1455586609,END GAME,Jessica Reel and Will Robie fight a dangerous adversary in Colorado.,David Baldacci,by David Baldacci,Grand Central,0,0,https://www.amazon.com/Game-Will-Robie-David-Baldacci-ebook/dp/B06WGTZXG7?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,12,9,6
12,735215898,TOM CLANCY POWER AND EMPIRE,President Jack Ryan seeks to identify the hidden forces escalating the tensions between China and the United States.,Marc Cameron,by Marc Cameron,Putnam,0,0,https://www.amazon.com/Clancy-Power-Empire-Jack-Novel-ebook/dp/B06Y55SB4X?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,13,13,4
13,150116340X,SLEEPING BEAUTIES,Women who fall asleep become shrouded in mysterious cocoons while the men battle one another.,Stephen King and Owen King,by Stephen King and Owen King,Scribner,0,0,https://www.amazon.com/Sleeping-Beauties-Novel-Stephen-King/dp/150116340X?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,14,0,5
14,399179194,HARDCORE TWENTY-FOUR,"When a homeless man is murdered, the bounty hunter Stephanie Plum searches for the killer.",Janet Evanovich,by Janet Evanovich,Putnam,0,0,https://www.amazon.com/Hardcore-Twenty-Four-Stephanie-Plum-Book-ebook/dp/B01N3KJB3E?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Fiction,2018,1,15,14,6
105,159420487X,GRANT,A biography of the Union general of the Civil War and two-term president of the United States.,Ron Chernow,by Ron Chernow,Penguin Press,0,0,https://www.amazon.com/Grant-Ron-Chernow/dp/159420487X?tag=NYTBSREV-20,https://www.nytimes.com/2017/10/12/books/review/ron-chernow-ulysses-s-grant-biography-bill-clinton.html,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,1,4,11
106,1501139150,LEONARDO DA VINCI,A biography of the Italian Renaissance polymath which connects his work in various disciplines.,Walter Isaacson,by Walter Isaacson,Simon & Schuster,0,0,https://www.amazon.com/Leonardo-Vinci-Walter-Isaacson/dp/1501139150?tag=NYTBSREV-20,https://www.nytimes.com/2017/11/27/books/review/leonardo-da-vinci-biography-walter-isaacson.html,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,2,1,10
107,1250171679,"PROMISE ME, DAD","The former vice president recalls his toughest year in office, as his son battled brain cancer.",Joe Biden,by Joe Biden,Flatiron Books,0,0,https://www.amazon.com/Promise-Me-Dad-Hardship-Purpose/dp/1250171679?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,3,3,6
108,316512583,OBAMA,"More than 300 pictures of the former president by his White House photographer, with behind-the-scenes stories.",Pete Souza,by Pete Souza,"Little, Brown",0,0,https://www.amazon.com/Obama-Intimate-Portrait-Pete-Souza/dp/0316512583?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,4,2,7
109,393609391,ASTROPHYSICS FOR PEOPLE IN A HURRY,"A straightforward, easy-to-understand introduction to the laws that govern the universe.",Neil deGrasse Tyson,by Neil deGrasse Tyson,Norton,0,0,https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,5,6,33
110,1627790640,KILLING ENGLAND,Major events and battles during the Revolutionary War are told from several perspectives.,Bill O'Reilly and Martin Dugard,by Bill O'Reilly and Martin Dugard,Holt,0,0,https://www.amazon.com/Killing-England-Struggle-American-Independence/dp/1627790640?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,6,9,14
111,735213232,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS,Major General Jackson takes on the British in Louisiana.,Brian Kilmeade and Don Yaeger,by Brian Kilmeade and Don Yaeger,Sentinel,0,0,https://www.amazon.com/Andrew-Jackson-Miracle-New-Orleans/dp/0735213232?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,7,5,9
112,1501111868,BOBBY KENNEDY,The New York senator's journey from his formative years to his tragic run for president.,Chris Matthews,by Chris Matthews,Simon & Schuster,0,0,https://www.amazon.com/Bobby-Kennedy-Raging-Chris-Matthews/dp/1501111868?tag=NYTBSREV-20,,12/23/17,1/7/18,Combined Print and E-Book Nonfiction,2018,1,8,7,8
